assertj-core                             [3.23.1]
org.apache.commons.logging               [1.2.0.v20180409-1502]
org.apache.commons.logging.source        [1.2.0.v20180409-1502]
org.apache.felix.gogo.command            [1.1.2]
org.apache.felix.gogo.command.source     [1.1.2]
org.apache.felix.gogo.runtime            [1.1.6]
org.apache.felix.gogo.runtime.source     [1.1.6]
org.apache.felix.gogo.shell              [1.1.4]
org.apache.felix.gogo.shell.source       [1.1.4]
org.apache.felix.scr                     [2.2.2]
org.apache.felix.scr.source              [2.2.2]
org.apache.httpcomponents.client5.httpclient5 [5.1.2.v20211217-1500]
org.apache.httpcomponents.client5.httpclient5-win [5.1.2.v20211217-1500]
org.apache.httpcomponents.client5.httpclient5-win.source [5.1.2.v20211217-1500]
org.apache.httpcomponents.client5.httpclient5.source [5.1.2.v20211217-1500]
org.apache.httpcomponents.core5.httpcore5 [5.1.2.v20211217-1500]
org.apache.httpcomponents.core5.httpcore5-h2 [5.1.2.v20211217-1500]
org.apache.httpcomponents.core5.httpcore5-h2.source [5.1.2.v20211217-1500]
org.apache.httpcomponents.core5.httpcore5.source [5.1.2.v20211217-1500]
org.apache.jasper.glassfish              [2.2.2.v201501141630]
org.apache.jasper.glassfish.source       [2.2.2.v201501141630]
org.apache.lucene.analyzers-common       [8.4.1.v20200122-1459]
org.apache.lucene.analyzers-common.source [8.4.1.v20200122-1459]
org.apache.lucene.analyzers-smartcn      [8.4.1.v20200122-1459]
org.apache.lucene.analyzers-smartcn.source [8.4.1.v20200122-1459]
org.apache.lucene.core                   [8.4.1.v20200122-1459]
org.apache.lucene.core.source            [8.4.1.v20200122-1459]
org.apache.sshd.osgi                     [2.8.0]
org.apache.sshd.osgi.source              [2.8.0]
org.apache.xmlgraphics                   [2.6.0.v20210409-0748]
org.apache.xmlgraphics.source            [2.6.0.v20210409-0748]
org.apiguardian.api                      [1.1.2]
org.apiguardian.api.source               [1.1.2]
org.bouncycastle.bcpg                    [1.71.0.v20220723-1943]
org.bouncycastle.bcprov                  [1.71.0.v20220723-1943]
org.eclipse.ant.core                     [3.6.500.v20220718-1722]
org.eclipse.ant.core.source              [3.6.500.v20220718-1722]
org.eclipse.ant.launching                [1.3.400.v20220718-1722]
org.eclipse.ant.launching.source         [1.3.400.v20220718-1722]
org.eclipse.ant.optional.junit           [3.3.300.v20180822-0818]
org.eclipse.ant.tests.core               [3.6.300.v20220720-1909]
org.eclipse.ant.tests.ui                 [3.10.400.v20220720-1909]
org.eclipse.ant.ui                       [3.8.300.v20220718-1722]
org.eclipse.ant.ui.source                [3.8.300.v20220718-1722]
org.eclipse.compare                      [3.8.500.v20220812-1406]
org.eclipse.compare.core                 [3.7.100.v20220812-1406]
org.eclipse.compare.core.source          [3.7.100.v20220812-1406]
org.eclipse.compare.examples             [3.3.100.v20220812-1406]
org.eclipse.compare.examples.source      [3.3.100.v20220812-1406]
org.eclipse.compare.examples.xml         [3.5.100.v20220812-1406]
org.eclipse.compare.examples.xml.source  [3.5.100.v20220812-1406]
org.eclipse.compare.source               [3.8.500.v20220812-1406]
org.eclipse.compare.tests                [3.7.100.v20220812-1406]
org.eclipse.compare.win32                [1.2.900.v20220812-1406]
org.eclipse.compare.win32.source         [1.2.900.v20220812-1406]
org.eclipse.core.commands                [3.10.200.v20220512-0851]
org.eclipse.core.commands.source         [3.10.200.v20220512-0851]
org.eclipse.core.contenttype             [3.8.200.v20220817-1539]
org.eclipse.core.contenttype.source      [3.8.200.v20220817-1539]
org.eclipse.core.databinding             [1.11.100.v20220817-1444]
org.eclipse.core.databinding.beans       [1.8.0.v20210619-1111]
org.eclipse.core.databinding.beans.source [1.8.0.v20210619-1111]
org.eclipse.core.databinding.observable  [1.12.0.v20211231-1006]
org.eclipse.core.databinding.observable.source [1.12.0.v20211231-1006]
org.eclipse.core.databinding.property    [1.9.0.v20210619-1129]
org.eclipse.core.databinding.property.source [1.9.0.v20210619-1129]
org.eclipse.core.databinding.source      [1.11.100.v20220817-1444]
org.eclipse.core.expressions             [3.8.200.v20220613-1047]
org.eclipse.core.expressions.source      [3.8.200.v20220613-1047]
org.eclipse.core.expressions.tests       [3.6.100.v20220718-1722]
org.eclipse.core.externaltools           [1.2.300.v20220618-1805]
org.eclipse.core.externaltools.source    [1.2.300.v20220618-1805]
org.eclipse.core.filebuffers             [3.7.200.v20220202-1008]
org.eclipse.core.filebuffers.source      [3.7.200.v20220202-1008]
org.eclipse.core.filebuffers.tests       [3.12.200.v20220202-1008]
org.eclipse.core.filesystem              [1.9.500.v20220817-1539]
org.eclipse.core.filesystem.linux.aarch64 [1.4.200.v20220812-1420]
org.eclipse.core.filesystem.linux.aarch64.source [1.4.200.v20220812-1420]
org.eclipse.core.filesystem.linux.ppc64le [1.4.200.v20220812-1420]
org.eclipse.core.filesystem.linux.x86_64 [1.2.400.v20220812-1420]
org.eclipse.core.filesystem.macosx       [1.3.400.v20220812-1420]
org.eclipse.core.filesystem.source       [1.9.500.v20220817-1539]
org.eclipse.core.filesystem.win32.x86_64 [1.4.300.v20220812-1420]
org.eclipse.core.jobs                    [3.13.100.v20220817-1539]
org.eclipse.core.jobs.source             [3.13.100.v20220817-1539]
org.eclipse.core.net                     [1.4.0.v20220813-1037]
org.eclipse.core.net.linux               [1.0.200.v20220812-1406]
org.eclipse.core.net.linux.source        [1.0.200.v20220812-1406]
org.eclipse.core.net.source              [1.4.0.v20220813-1037]
org.eclipse.core.net.win32               [1.0.100.v20220812-1406]
org.eclipse.core.net.win32.source        [1.0.100.v20220812-1406]
org.eclipse.core.net.win32.x86_64        [1.1.700.v20220812-1406]
org.eclipse.core.net.win32.x86_64.source [1.1.700.v20220812-1406]
org.eclipse.core.resources               [3.18.0.v20220828-0546]
org.eclipse.core.resources.source        [3.18.0.v20220828-0546]
org.eclipse.core.resources.win32.x86_64  [3.5.500.v20220812-1420]
org.eclipse.core.runtime                 [3.26.0.v20220813-0916]
org.eclipse.core.runtime.source          [3.26.0.v20220813-0916]
org.eclipse.core.tests.harness           [3.13.0.v20220719-1626]
org.eclipse.core.tests.net               [1.5.100.v20220812-1406]
org.eclipse.core.tests.resources         [3.10.1900.v20220826-1616]
org.eclipse.core.tests.runtime           [3.20.300.v20220720-1909]
org.eclipse.core.variables               [3.5.100.v20210721-1355]
org.eclipse.core.variables.source        [3.5.100.v20210721-1355]
org.eclipse.debug.core                   [3.20.0.v20220811-0741]
org.eclipse.debug.core.source            [3.20.0.v20220811-0741]
org.eclipse.debug.examples.core          [1.5.0.v20210510-1910]
org.eclipse.debug.examples.core.source   [1.5.0.v20210510-1910]
org.eclipse.debug.examples.ui            [1.7.100.v20210721-1355]
org.eclipse.debug.examples.ui.source     [1.7.100.v20210721-1355]
org.eclipse.debug.tests                  [3.12.800.v20220618-1805]
org.eclipse.debug.ui                     [3.17.0.v20220817-1312]
org.eclipse.debug.ui.launchview          [1.0.300.v20220811-0741]
org.eclipse.debug.ui.launchview.source   [1.0.300.v20220811-0741]
org.eclipse.debug.ui.source              [3.17.0.v20220817-1312]
org.eclipse.e4.core.commands             [1.0.200.v20220629-1225]
org.eclipse.e4.core.commands.source      [1.0.200.v20220629-1225]
org.eclipse.e4.core.commands.tests       [0.13.100.v20211010-0529]
org.eclipse.e4.core.contexts             [1.11.0.v20220716-0839]
org.eclipse.e4.core.contexts.source      [1.11.0.v20220716-0839]
org.eclipse.e4.core.di                   [1.8.300.v20220817-1539]
org.eclipse.e4.core.di.annotations       [1.7.200.v20220613-1008]
org.eclipse.e4.core.di.annotations.source [1.7.200.v20220613-1008]
org.eclipse.e4.core.di.extensions        [0.17.200.v20220613-1008]
org.eclipse.e4.core.di.extensions.source [0.17.200.v20220613-1008]
org.eclipse.e4.core.di.extensions.supplier [0.16.400.v20220613-1047]
org.eclipse.e4.core.di.extensions.supplier.source [0.16.400.v20220613-1047]
org.eclipse.e4.core.di.source            [1.8.300.v20220817-1539]
org.eclipse.e4.core.services             [2.3.300.v20220613-1047]
org.eclipse.e4.core.services.source      [2.3.300.v20220613-1047]
org.eclipse.e4.core.tests                [1.2.400.v20220718-1722]
org.eclipse.e4.emf.xpath                 [0.3.0.v20210722-1426]
org.eclipse.e4.emf.xpath.source          [0.3.0.v20210722-1426]
org.eclipse.e4.tools                     [4.9.100.v20211020-1255]
org.eclipse.e4.tools.compat              [4.8.100.v20210102-0921]
org.eclipse.e4.tools.compat.source       [4.8.100.v20210102-0921]
org.eclipse.e4.tools.emf.editor3x        [4.8.100.v20220331-1558]
org.eclipse.e4.tools.emf.editor3x.source [4.8.100.v20220331-1558]
org.eclipse.e4.tools.emf.ui              [4.7.300.v20220420-0901]
org.eclipse.e4.tools.emf.ui.source       [4.7.300.v20220420-0901]
org.eclipse.e4.tools.jdt.templates       [4.9.0.v20210427-1802]
org.eclipse.e4.tools.jdt.templates.source [4.9.0.v20210427-1802]
org.eclipse.e4.tools.services            [4.9.0.v20210427-1802]
org.eclipse.e4.tools.services.source     [4.9.0.v20210427-1802]
org.eclipse.e4.tools.source              [4.9.100.v20211020-1255]
org.eclipse.e4.ui.bindings               [0.13.100.v20210722-1426]
org.eclipse.e4.ui.bindings.source        [0.13.100.v20210722-1426]
org.eclipse.e4.ui.bindings.tests         [0.13.200.v20220506-1520]
org.eclipse.e4.ui.css.core               [0.13.300.v20220809-1237]
org.eclipse.e4.ui.css.core.source        [0.13.300.v20220809-1237]
org.eclipse.e4.ui.css.swt                [0.14.600.v20220621-1327]
org.eclipse.e4.ui.css.swt.source         [0.14.600.v20220621-1327]
org.eclipse.e4.ui.css.swt.theme          [0.13.100.v20220310-1056]
org.eclipse.e4.ui.css.swt.theme.source   [0.13.100.v20220310-1056]
org.eclipse.e4.ui.di                     [1.4.0.v20210621-1133]
org.eclipse.e4.ui.di.source              [1.4.0.v20210621-1133]
org.eclipse.e4.ui.dialogs                [1.3.300.v20220815-1831]
org.eclipse.e4.ui.dialogs.source         [1.3.300.v20220815-1831]
org.eclipse.e4.ui.ide                    [3.16.100.v20220310-1350]
org.eclipse.e4.ui.ide.source             [3.16.100.v20220310-1350]
org.eclipse.e4.ui.model.workbench        [2.2.200.v20220817-1444]
org.eclipse.e4.ui.model.workbench.source [2.2.200.v20220817-1444]
org.eclipse.e4.ui.progress               [0.3.500.v20220717-1456]
org.eclipse.e4.ui.progress.source        [0.3.500.v20220717-1456]
org.eclipse.e4.ui.services               [1.5.0.v20210115-1333]
org.eclipse.e4.ui.services.source        [1.5.0.v20210115-1333]
org.eclipse.e4.ui.swt.gtk                [1.1.100.v20210108-1832]
org.eclipse.e4.ui.swt.gtk.source         [1.1.100.v20210108-1832]
org.eclipse.e4.ui.swt.win32              [1.1.0.v20201119-1132]
org.eclipse.e4.ui.swt.win32.source       [1.1.0.v20201119-1132]
org.eclipse.e4.ui.tests                  [0.14.800.v20220717-1456]
org.eclipse.e4.ui.tests.css.core         [1.301.300.v20220720-2118]
org.eclipse.e4.ui.tests.css.swt          [0.11.500.v20220815-2142]
org.eclipse.e4.ui.widgets                [1.3.0.v20210621-1136]
org.eclipse.e4.ui.widgets.source         [1.3.0.v20210621-1136]
org.eclipse.e4.ui.workbench              [1.13.200.v20220808-2019]
org.eclipse.e4.ui.workbench.addons.swt   [1.4.400.v20211102-0453]
org.eclipse.e4.ui.workbench.addons.swt.source [1.4.400.v20211102-0453]
org.eclipse.e4.ui.workbench.renderers.swt [0.15.600.v20220715-1400]
org.eclipse.e4.ui.workbench.renderers.swt.cocoa [0.12.600.v20200416-0656]
org.eclipse.e4.ui.workbench.renderers.swt.cocoa.source [0.12.600.v20200416-0656]
org.eclipse.e4.ui.workbench.renderers.swt.source [0.15.600.v20220715-1400]
org.eclipse.e4.ui.workbench.source       [1.13.200.v20220808-2019]
org.eclipse.e4.ui.workbench.swt          [0.16.600.v20220607-1204]
org.eclipse.e4.ui.workbench.swt.source   [0.16.600.v20220607-1204]
org.eclipse.e4.ui.workbench3             [0.16.0.v20210619-0956]
org.eclipse.e4.ui.workbench3.source      [0.16.0.v20210619-0956]
org.eclipse.ecf                          [3.10.0.v20210925-0032]
org.eclipse.ecf.filetransfer             [5.1.102.v20210409-2301]
org.eclipse.ecf.filetransfer.source      [5.1.102.v20210409-2301]
org.eclipse.ecf.identity                 [3.9.402.v20210409-2301]
org.eclipse.ecf.identity.source          [3.9.402.v20210409-2301]
org.eclipse.ecf.provider.filetransfer    [3.2.800.v20220215-0126]
org.eclipse.ecf.provider.filetransfer.httpclient5 [1.0.300.v20220215-0126]
org.eclipse.ecf.provider.filetransfer.httpclient5.source [1.0.300.v20220215-0126]
org.eclipse.ecf.provider.filetransfer.httpclient5.win32 [1.0.400.v20220109-1926]
org.eclipse.ecf.provider.filetransfer.httpclient5.win32.source [1.0.400.v20220109-1926]
org.eclipse.ecf.provider.filetransfer.source [3.2.800.v20220215-0126]
org.eclipse.ecf.provider.filetransfer.ssl [1.0.201.v20210409-2301]
org.eclipse.ecf.provider.filetransfer.ssl.source [1.0.201.v20210409-2301]
org.eclipse.ecf.source                   [3.10.0.v20210925-0032]
org.eclipse.ecf.ssl                      [1.2.401.v20210409-2301]
org.eclipse.ecf.ssl.source               [1.2.401.v20210409-2301]
org.eclipse.emf.common                   [2.26.0.v20220817-1401]
org.eclipse.emf.common.source            [2.26.0.v20220817-1401]
org.eclipse.emf.databinding              [1.6.0.v20220517-0824]
org.eclipse.emf.databinding.edit         [1.7.0.v20210113-0340]
org.eclipse.emf.databinding.edit.source  [1.7.0.v20210113-0340]
org.eclipse.emf.databinding.source       [1.6.0.v20220517-0824]
org.eclipse.emf.ecore                    [2.28.0.v20220817-1401]
org.eclipse.emf.ecore.change             [2.14.0.v20190528-0725]
org.eclipse.emf.ecore.change.source      [2.14.0.v20190528-0725]
org.eclipse.emf.ecore.source             [2.28.0.v20220817-1401]
org.eclipse.emf.ecore.xmi                [2.17.0.v20220817-1334]
org.eclipse.emf.ecore.xmi.source         [2.17.0.v20220817-1334]
org.eclipse.emf.edit                     [2.17.0.v20220201-1551]
org.eclipse.emf.edit.source              [2.17.0.v20220201-1551]
org.eclipse.equinox.app                  [1.6.200.v20220720-2012]
org.eclipse.equinox.app.source           [1.6.200.v20220720-2012]
org.eclipse.equinox.bidi                 [1.4.200.v20220710-1223]
org.eclipse.equinox.bidi.source          [1.4.200.v20220710-1223]
org.eclipse.equinox.bidi.tests           [1.3.100.v20211021-1418]
org.eclipse.equinox.cm                   [1.5.100.v20211021-1418]
org.eclipse.equinox.cm.source            [1.5.100.v20211021-1418]
org.eclipse.equinox.common               [3.16.200.v20220817-1601]
org.eclipse.equinox.common.source        [3.16.200.v20220817-1601]
org.eclipse.equinox.common.tests         [3.15.400.v20220720-1916]
org.eclipse.equinox.concurrent           [1.2.100.v20211021-1418]
org.eclipse.equinox.concurrent.source    [1.2.100.v20211021-1418]
org.eclipse.equinox.console              [1.4.500.v20211021-1418]
org.eclipse.equinox.console.jaas.fragment [1.1.100.v20211021-1418]
org.eclipse.equinox.console.source       [1.4.500.v20211021-1418]
org.eclipse.equinox.console.ssh          [1.2.1000.v20220719-1739]
org.eclipse.equinox.console.ssh.source   [1.2.1000.v20220719-1739]
org.eclipse.equinox.coordinator          [1.5.100.v20220710-1223]
org.eclipse.equinox.coordinator.source   [1.5.100.v20220710-1223]
org.eclipse.equinox.device               [1.1.300.v20220720-1916]
org.eclipse.equinox.device.source        [1.1.300.v20220720-1916]
org.eclipse.equinox.ds.tests             [1.6.300.v20220726-1348]
org.eclipse.equinox.event                [1.6.100.v20211021-1418]
org.eclipse.equinox.event.source         [1.6.100.v20211021-1418]
org.eclipse.equinox.frameworkadmin       [2.2.100.v20220817-1208]
org.eclipse.equinox.frameworkadmin.equinox [1.2.200.v20220315-2155]
org.eclipse.equinox.frameworkadmin.equinox.source [1.2.200.v20220315-2155]
org.eclipse.equinox.frameworkadmin.source [2.2.100.v20220817-1208]
org.eclipse.equinox.frameworkadmin.test  [1.3.0.v20210426-1055]
org.eclipse.equinox.http.jetty           [3.8.100.v20211021-1418]
org.eclipse.equinox.http.jetty.source    [3.8.100.v20211021-1418]
org.eclipse.equinox.http.registry        [1.3.200.v20220720-2012]
org.eclipse.equinox.http.registry.source [1.3.200.v20220720-2012]
org.eclipse.equinox.http.servlet         [1.7.300.v20220726-1300]
org.eclipse.equinox.http.servlet.source  [1.7.300.v20220726-1300]
org.eclipse.equinox.http.servlet.tests   [1.8.500.v20220722-0431]
org.eclipse.equinox.http.servletbridge   [1.2.200.v20220710-1223]
org.eclipse.equinox.http.servletbridge.source [1.2.200.v20220710-1223]
org.eclipse.equinox.jsp.jasper           [1.1.700.v20220801-1124]
org.eclipse.equinox.jsp.jasper.registry  [1.2.100.v20211021-1418]
org.eclipse.equinox.jsp.jasper.registry.source [1.2.100.v20211021-1418]
org.eclipse.equinox.jsp.jasper.source    [1.1.700.v20220801-1124]
org.eclipse.equinox.launcher             [1.6.400.v20210924-0641]
org.eclipse.equinox.launcher.cocoa.macosx [1.2.600.v20220720-1949]
org.eclipse.equinox.launcher.cocoa.macosx.aarch64 [1.2.600.v20220720-1916]
org.eclipse.equinox.launcher.cocoa.macosx.x86_64 [1.2.600.v20220720-1916]
org.eclipse.equinox.launcher.gtk.linux.aarch64 [1.2.600.v20220720-1916]
org.eclipse.equinox.launcher.gtk.linux.ppc64le [1.2.600.v20220720-1916]
org.eclipse.equinox.launcher.gtk.linux.x86_64 [1.2.600.v20220720-1916]
org.eclipse.equinox.launcher.source      [1.6.400.v20210924-0641]
org.eclipse.equinox.launcher.win32.win32.x86_64 [1.2.600.v20220720-1916]
org.eclipse.equinox.log.stream           [1.1.0.v20220429-1604]
org.eclipse.equinox.log.stream.source    [1.1.0.v20220429-1604]
org.eclipse.equinox.metatype             [1.6.200.v20220710-1223]
org.eclipse.equinox.metatype.source      [1.6.200.v20220710-1223]
org.eclipse.equinox.p2.artifact.repository [1.4.500.v20220420-1427]
org.eclipse.equinox.p2.artifact.repository.source [1.4.500.v20220420-1427]
org.eclipse.equinox.p2.console           [1.2.0.v20210315-2042]
org.eclipse.equinox.p2.console.source    [1.2.0.v20210315-2042]
org.eclipse.equinox.p2.core              [2.9.200.v20220817-1208]
org.eclipse.equinox.p2.core.source       [2.9.200.v20220817-1208]
org.eclipse.equinox.p2.director          [2.5.400.v20220817-1208]
org.eclipse.equinox.p2.director.app      [1.2.200.v20220802-0626]
org.eclipse.equinox.p2.director.app.source [1.2.200.v20220802-0626]
org.eclipse.equinox.p2.director.source   [2.5.400.v20220817-1208]
org.eclipse.equinox.p2.directorywatcher  [1.3.0.v20210316-1209]
org.eclipse.equinox.p2.directorywatcher.source [1.3.0.v20210316-1209]
org.eclipse.equinox.p2.discovery         [1.2.0.v20210315-2042]
org.eclipse.equinox.p2.discovery.compatibility [1.2.200.v20220210-1157]
org.eclipse.equinox.p2.discovery.compatibility.source [1.2.200.v20220210-1157]
org.eclipse.equinox.p2.discovery.source  [1.2.0.v20210315-2042]
org.eclipse.equinox.p2.engine            [2.7.500.v20220817-1208]
org.eclipse.equinox.p2.engine.source     [2.7.500.v20220817-1208]
org.eclipse.equinox.p2.extensionlocation [1.4.100.v20220213-0541]
org.eclipse.equinox.p2.extensionlocation.source [1.4.100.v20220213-0541]
org.eclipse.equinox.p2.garbagecollector  [1.2.0.v20210316-1209]
org.eclipse.equinox.p2.garbagecollector.source [1.2.0.v20210316-1209]
org.eclipse.equinox.p2.installer         [1.3.300.v20220210-1319]
org.eclipse.equinox.p2.installer.source  [1.3.300.v20220210-1319]
org.eclipse.equinox.p2.jarprocessor      [1.2.300.v20220420-1427]
org.eclipse.equinox.p2.jarprocessor.source [1.2.300.v20220420-1427]
org.eclipse.equinox.p2.metadata          [2.6.300.v20220817-1208]
org.eclipse.equinox.p2.metadata.repository [1.4.100.v20220329-1456]
org.eclipse.equinox.p2.metadata.repository.source [1.4.100.v20220329-1456]
org.eclipse.equinox.p2.metadata.source   [2.6.300.v20220817-1208]
org.eclipse.equinox.p2.operations        [2.6.100.v20220817-1208]
org.eclipse.equinox.p2.operations.source [2.6.100.v20220817-1208]
org.eclipse.equinox.p2.publisher         [1.7.200.v20220805-0804]
org.eclipse.equinox.p2.publisher.eclipse [1.4.100.v20220420-1427]
org.eclipse.equinox.p2.publisher.eclipse.source [1.4.100.v20220420-1427]
org.eclipse.equinox.p2.publisher.source  [1.7.200.v20220805-0804]
org.eclipse.equinox.p2.reconciler.dropins [1.4.100.v20211217-1131]
org.eclipse.equinox.p2.reconciler.dropins.source [1.4.100.v20211217-1131]
org.eclipse.equinox.p2.repository        [2.6.200.v20220819-1949]
org.eclipse.equinox.p2.repository.source [2.6.200.v20220819-1949]
org.eclipse.equinox.p2.repository.tools  [2.3.100.v20220504-1755]
org.eclipse.equinox.p2.repository.tools.source [2.3.100.v20220504-1755]
org.eclipse.equinox.p2.tests             [1.8.800.v20220805-0804]
org.eclipse.equinox.p2.tests.discovery   [1.3.200.v20220210-1319]
org.eclipse.equinox.p2.tests.ui          [1.3.400.v20220210-1319]
org.eclipse.equinox.p2.tests.verifier    [1.3.100.v20211013-0628]
org.eclipse.equinox.p2.touchpoint.eclipse [2.3.300.v20220817-1208]
org.eclipse.equinox.p2.touchpoint.eclipse.source [2.3.300.v20220817-1208]
org.eclipse.equinox.p2.touchpoint.natives [1.4.400.v20220506-1821]
org.eclipse.equinox.p2.touchpoint.natives.source [1.4.400.v20220506-1821]
org.eclipse.equinox.p2.transport.ecf     [1.3.300.v20220512-1321]
org.eclipse.equinox.p2.transport.ecf.source [1.3.300.v20220512-1321]
org.eclipse.equinox.p2.ui                [2.7.600.v20220817-1208]
org.eclipse.equinox.p2.ui.admin          [1.2.0.v20210114-1210]
org.eclipse.equinox.p2.ui.admin.rcp      [1.3.300.v20220822-0443]
org.eclipse.equinox.p2.ui.admin.rcp.source [1.3.300.v20220822-0443]
org.eclipse.equinox.p2.ui.admin.source   [1.2.0.v20210114-1210]
org.eclipse.equinox.p2.ui.discovery      [1.2.300.v20210813-0655]
org.eclipse.equinox.p2.ui.discovery.source [1.2.300.v20210813-0655]
org.eclipse.equinox.p2.ui.importexport   [1.3.300.v20220329-1456]
org.eclipse.equinox.p2.ui.importexport.source [1.3.300.v20220329-1456]
org.eclipse.equinox.p2.ui.sdk            [1.2.100.v20220814-1551]
org.eclipse.equinox.p2.ui.sdk.scheduler  [1.5.400.v20220805-0804]
org.eclipse.equinox.p2.ui.sdk.scheduler.source [1.5.400.v20220805-0804]
org.eclipse.equinox.p2.ui.sdk.source     [1.2.100.v20220814-1551]
org.eclipse.equinox.p2.ui.source         [2.7.600.v20220817-1208]
org.eclipse.equinox.p2.updatechecker     [1.3.0.v20210315-2228]
org.eclipse.equinox.p2.updatechecker.source [1.3.0.v20210315-2228]
org.eclipse.equinox.p2.updatesite        [1.2.300.v20220420-1427]
org.eclipse.equinox.p2.updatesite.source [1.2.300.v20220420-1427]
org.eclipse.equinox.preferences          [3.10.100.v20220710-1223]
org.eclipse.equinox.preferences.source   [3.10.100.v20220710-1223]
org.eclipse.equinox.preferences.tests    [3.9.200.v20220426-1329]
org.eclipse.equinox.region               [1.5.300.v20220720-2012]
org.eclipse.equinox.region.source        [1.5.300.v20220720-2012]
org.eclipse.equinox.registry             [3.11.200.v20220817-1601]
org.eclipse.equinox.registry.source      [3.11.200.v20220817-1601]
org.eclipse.equinox.security             [1.3.1000.v20220801-1135]
org.eclipse.equinox.security.linux       [1.0.200.v20210616-0726]
org.eclipse.equinox.security.linux.source [1.0.200.v20210616-0726]
org.eclipse.equinox.security.macosx      [1.101.400.v20210427-1958]
org.eclipse.equinox.security.macosx.source [1.101.400.v20210427-1958]
org.eclipse.equinox.security.source      [1.3.1000.v20220801-1135]
org.eclipse.equinox.security.tests       [1.2.400.v20220720-1916]
org.eclipse.equinox.security.ui          [1.3.300.v20220710-1223]
org.eclipse.equinox.security.ui.source   [1.3.300.v20220710-1223]
org.eclipse.equinox.security.win32.x86_64 [1.1.300.v20211021-1418]
org.eclipse.equinox.security.win32.x86_64.source [1.1.300.v20211021-1418]
org.eclipse.equinox.servletbridge        [1.6.200.v20220710-1223]
org.eclipse.equinox.servletbridge.source [1.6.200.v20220710-1223]
org.eclipse.equinox.simpleconfigurator   [1.4.100.v20220620-1617]
org.eclipse.equinox.simpleconfigurator.manipulator [2.2.0.v20210315-2228]
org.eclipse.equinox.simpleconfigurator.manipulator.source [2.2.0.v20210315-2228]
org.eclipse.equinox.simpleconfigurator.source [1.4.100.v20220620-1617]
org.eclipse.equinox.supplement           [1.10.600.v20220726-1348]
org.eclipse.equinox.supplement.source    [1.10.600.v20220726-1348]
org.eclipse.equinox.transforms.hook      [1.3.200.v20220710-1223]
org.eclipse.equinox.transforms.hook.source [1.3.200.v20220710-1223]
org.eclipse.equinox.transforms.xslt      [1.2.200.v20220826-1025]
